上学时间,Time,学校名称,University,专业,program,,,,,
2022.9-2024.6,2022.9-2024.6,卑尔根大学,University of Bergen,艺术学（硕士）,Fine Art Authorisation (Master),,,,,
2018.9-2022.2,2018.9-2022.2,卑尔根大学,University of Bergen,视觉传达（硕士）,Visual communication Authorisation (Master),,,,,
2013.9-2018.8,2013.9-2018.8,天津美术学院,Tianjin Academic of Fine Art,雕塑（学士）,Sculpture Authorisation (Bachelor),,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
上学时间(Time),上学时间(Time),学校名称(University),学校名称(University),专业(program),专业(program),,,,,
2022.9-2024.6,2022.9-2024.6,University of Bergen,University of Bergen,Fine Art Authorisation,Fine Art Authorisation,,,,,
2018.9-2022.2,2018.9-2022.2,University of Bergen,University of Bergen,Master Visual communication Authorisation,Master Visual communication Authorisation,,,,,
2013.9-2018.8,2013.9-2018.8,Tianjin Academic of Fine Art,Tianjin Academic of Fine Art,Bachelor Sculpture Authorisation,Bachelor Sculpture Authorisation,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
