展览时间,Exhibition Time,作品名称,Tittle,展览名称,Exhibition Name,展览类型,Exhibition Name,主办方,Host,展览地点,Exhibition Location,主办方国家,Host Country,其他,Others
2021.6.30,2021.6.30,没有神的神庙,Temple Without God,The Born,The Born,Personal Exhibition,Personal Exhibition,Rui Liu,Rui Liu,卑尔根,Bergen,挪威,Norway,,
2021.7.15-8.15,2021.7.15-8.15,没有神的神庙,Temple Without God,1st International Art Exhibition 2021,1st International Art Exhibition 2021,Virtual Exhibition,Virtual Exhibition,motileart.com,motileart.com,线上,online,印度,India,,
2018.7.20,2018.7.20,遗留,The legacy program,遗留,The legacy,Personal Exhibition,Personal Exhibition,天津美术学院,Tianjin Academy of Fine Arts,天津,Tianjin,中国,China,,
2018.8.5,2018.8.5,他的故事,His Story,在花园,In the Garden,Group Exhibition,Group Exhibition,天津美术学院,Tianjin Academy of Fine Arts,天津,Tianjin,中国,China,,
2017.3.21-4.21,2017.3.21-4.21,汉服,Hanfu,初·见,When We First Meet,Group Exhibition,Group Exhibition,"天津美术学院,费城大学","Tianjin Academy of Fine Arts, University of Philadelphia",费城,Philadelphia,美国,America,,
2016.1.7,2016.1.7,朋克,Punk,第八届国际大学生雪雕大赛,8th International College Students Snow Sculpture Competition,Group Exhibition,Group Exhibition,哈尔滨工程大学,Harbin Engineering University,"黑龙江哈尔滨
","Harbin,Heilongjing province",中国,China,,
2021.1,2021.1,没有神的神庙,Temple Without God,每个人都是孤岛,Everyone Is a Planet,Group Exhibition,Group Exhibition,奔放艺术,OPEN&FUN Art Village,上海,Shanghai,中国,China,,
2020.12,2020.12,梦想的装扮,Adorned in Dreams: Fashion and Modernity,重庆大学出版社,Chongqing University Press,翻译,Translation,重庆大学出版社,Chongqing University Press,,,,,,
2019.11.22-11.24,2019.11.22-11.24,2019中国游戏节（2019CGF）,2019 China Game Festival（2019CGF）,2019中国游戏节（2019CGF）,2019 China Game Festival（2019CGF）,Exhibition,Exhibition,Norstar Exhibition Group,Norstar Exhibition Group,武汉,Wuhan,中国,China,,
2022.10.20-10.31,2022.10.20-10.31,没有神的神庙,Temple Without God,没有神的神庙,Temple Without God,Personal Exhibition,Personal Exhibition,TAXI Gallery,TAXI Gallery,卑尔根,Bergen,挪威,Norway,,
2022.10.6,2022.10.6,学者之路,The Way of Scholar,学者之路,The Way of Scholar,Performance Event,Performance Event,University of Bergen,University of Bergen,卑尔根,Bergen,挪威,Norway,,
2023.3.5,2023.3.5,一次又一次啊,Once and Once Again,Map of Obsession,Map of Obsession,Group Exhibition,Group Exhibition,学生团体,student group,卑尔根,Bergen,挪威,Norway,,
2023.4.14-4.16,2023.4.14-4.16,一次又一次啊--艺术书,Once and Once Again - Artist book,Bergen Art Book Fair 2023,Bergen Art Book Fair 2023,Group Exhibition,Group Exhibition,Bergen Art Book Fair,Bergen Art Book Fair,卑尔根,Bergen,挪威,Norway,,
2023.4.16-2023.5.14,2023.4.16-2023.5.14,一次又一次啊--装置,Once and Once Again - installation,This is my first painting Ever,This is my first painting Ever,Group Exhibition,Group Exhibition,"University of Bergen, Galleri Salhus, Tekstilindustrimuseet, Museumssenteret i Hordaland (MUHO)","University of Bergen, Galleri Salhus, Tekstilindustrimuseet, Museumssenteret i Hordaland (MUHO)",卑尔根,Bergen,挪威,Norway,,
2023.6.24,2023.6.24,没有神的神庙,Temple Without God,没有神的神庙,Temple Without God,Performance Event,Performance Event,Rui Liu,Rui Liu,卑尔根,Bergen,挪威,Norway,,
2023.5.15-2023.6.1,2023.5.15-2023.6.1,他的故事,His Story,I Can Carry People Around,I Can Carry People Around,Group Exhibition,Group Exhibition,"University of Bergen, Bergen Kjøtt","University of Bergen, Bergen Kjøtt",卑尔根,Bergen,挪威,Norway,,
2023.8.25-2023.10.31,2023.8.25-2023.10.31,一次又一次啊,Once and Once Again,2023 제4회 국제학술대회/국제아트&초대전 및 성과공유 포럼,2023 The 4th International Conference/International Art & Invitation Exhibition and Performance Sharing Forum,Group Exhibition,Group Exhibition,전남대학교 예술대학 ,Chonnam National University College of Arts,"线上
https://www.spatial.io/s/2023-AandDT-Exhibition-Trans-Art-64d3017cb6d2bebd563d92cb?share=5962698285131944642","Online
https://www.spatial.io/s/2023-AandDT-Exhibition-Trans-Art-64d3017cb6d2bebd563d92cb?share=5962698285131944642",韩国,Korea,,
2023.10.17-2023.10.31,2023.10.17-2023.10.31,我用什么把你留住,With What Can I Hold You Back,我用什么把你留住,With What Can I Hold You Back,Group Exhibition,Group Exhibition,"University of Bergen,Room 61","University of Bergen,Room 61",卑尔根,Bergen,挪威,Norway,,
2023.12.17-2023.12.21,2023.12.17-2023.12.21,一次又一次啊,Once and Once Again,一次又一次啊,Once and Once Again,Group Exhibition,Group Exhibition,Piksel.no,Piksel.no,卑尔根,Bergen,挪威,Norway,,
2024.4.12-2024.4.14,2024.4.12-2024.4.14,一次又一次啊--艺术书,Once and Once Again - Artist book,Bergen Art Book Fair 2024,Bergen Art Book Fair 2024,Group Exhibition,Group Exhibition,Bergen Art Book Fair,Bergen Art Book Fair,卑尔根,Bergen,挪威,Norway,https://babf.no/exhibitors/2024/bergen-art-book-buffet,https://babf.no/exhibitors/2024/bergen-art-book-buffet
2024.1.29,2024.1.29,一次又一次啊,Once and Once Again,2024 제4회 국제학술대회/국제아트&초대전 및 성과공유 포럼,2024 The 5th International Conference/International Art & Invitation Exhibition and Performance Sharing Forum,Group Exhibition,Group Exhibition,전남대학교 예술대학 ,Chonnam National University College of Arts,线上,online,韩国,Korea,,
2024.4.14-2024.5.12,2024.4.14-2024.5.12,一次又一次啊,Once and Once Again,KMD: TEXTILES,KMD: TEXTILES,Group Exhibition,Group Exhibition,"University of Bergen, Galleri Salhus, Tekstilindustrimuseet, Museumssenteret i Hordaland (MUHO)","University of Bergen, Galleri Salhus, Tekstilindustrimuseet, Museumssenteret i Hordaland (MUHO)",卑尔根,Bergen,挪威,Norway,,
2024.4.19-2024.5.5,2024.4.19-2024.5.5,一次又一次啊,Once and Once Again,This is personal,This is personal,Group Exhibition,Group Exhibition,,,卑尔根,Bergen,挪威,Norway,https://kmd.uib.no/spesialsider/mak-2024,https://kmd.uib.no/spesialsider/mak-2024
